episode,frames,pipes
0,61,0
1,61,0
2,61,0
3,61,0
4,61,0
5,61,0
6,55,0
7,61,0
8,61,0
9,56,0
10,61,0
11,61,0
12,53,0
13,61,0
14,60,0
15,61,0
16,61,0
17,61,0
18,61,0
19,58,0
20,59,0
21,61,0
22,61,0
23,61,0
24,62,0
25,61,0
26,61,0
27,61,0
28,59,0
29,61,0
30,65,1
31,53,0
32,61,0
33,61,0
34,61,0
35,61,0
36,61,0
37,61,0
38,61,0
39,61,0
40,61,0
41,52,0
42,57,0
43,61,0
44,61,0
45,61,0
46,61,0
47,61,0
48,61,0
49,61,0
50,61,0
51,63,0
52,55,0
53,60,0
54,56,0
55,61,0
56,61,0
57,50,0
58,61,0
59,60,0
60,61,0
61,61,0
62,61,0
63,47,0
64,61,0
65,57,0
66,61,0
67,58,0
68,60,0
69,53,0
70,61,0
71,61,0
72,61,0
73,61,0
74,58,0
75,61,0
76,69,1
77,52,0
78,61,0
79,61,0
80,61,0
81,57,0
82,61,0
83,61,0
84,61,0
85,61,0
86,59,0
87,53,0
88,60,0
89,51,0
90,61,0
91,56,0
92,55,0
93,51,0
94,61,0
95,59,0
96,61,0
97,61,0
98,59,0
99,58,0
100,61,0
101,55,0
102,59,0
103,59,0
104,56,0
105,51,0
106,61,0
107,54,0
108,48,0
109,53,0
110,60,0
111,56,0
112,61,0
113,61,0
114,61,0
115,61,0
116,58,0
117,48,0
118,61,0
119,61,0
120,47,0
121,56,0
122,61,0
123,55,0
124,55,0
125,53,0
126,56,0
127,61,0
128,61,0
129,55,0
130,58,0
131,54,0
132,54,0
133,58,0
134,53,0
135,55,0
136,56,0
137,61,0
138,50,0
139,61,0
140,51,0
141,56,0
142,50,0
143,49,0
144,61,0
145,56,0
146,58,0
147,53,0
148,61,0
149,51,0
150,61,0
151,61,0
152,52,0
153,59,0
154,61,0
155,61,0
156,56,0
157,61,0
158,56,0
159,54,0
160,61,0
161,61,0
162,52,0
163,50,0
164,61,0
165,60,0
166,61,0
167,54,0
168,57,0
169,61,0
170,53,0
171,52,0
172,61,0
173,55,0
174,59,0
175,58,0
176,61,0
177,61,0
178,53,0
179,54,0
180,61,0
181,69,1
182,61,0
183,55,0
184,61,0
185,58,0
186,58,0
187,61,0
188,61,0
189,61,0
